2021-03-15 01:01:23,150 | INFO | Connection established
2021-03-15 01:01:23,215 | INFO | Table is created
2021-03-15 01:01:23,215 | INFO | Start process Odata2019File.csv data file
2021-03-15 01:03:49,094 | INFO | File process is completed
2021-03-15 01:03:49,100 | INFO | Process time: 0:02:25.875158

2021-03-15 01:03:49,101 | INFO | Start process Odata2020File.csv data file
2021-03-15 01:06:29,804 | INFO | File process is completed
2021-03-15 01:06:29,805 | INFO | Process time: 0:02:40.701385

2021-03-15 01:06:31,110 | INFO | ZNO results were saved
2021-03-15 01:06:31,880 | INFO | The best result was in 2019 year with 72 test value
2021-03-15 01:38:21,701 | INFO | Connection established
2021-03-15 01:38:21,964 | INFO | Table is created
2021-03-15 01:38:21,964 | INFO | Start process Odata2019File.csv data file
2021-03-15 01:40:42,330 | INFO | File process is completed
2021-03-15 01:40:42,336 | INFO | Process time: 0:02:20.366137

2021-03-15 01:40:42,337 | INFO | Start process Odata2020File.csv data file
2021-03-15 01:43:12,387 | INFO | File process is completed
2021-03-15 01:43:12,389 | INFO | Process time: 0:02:30.049947

2021-03-15 01:43:14,996 | INFO | ZNO results were saved
2021-03-15 01:43:15,650 | INFO | The best result was in 2019 year with 72 test value
2021-03-17 10:19:09,944 | INFO | Connection established
2021-03-17 10:19:10,400 | INFO | Table is created
2021-03-17 10:19:10,400 | INFO | Start process Odata2019File.csv data file
2021-03-17 10:21:39,016 | INFO | File process is completed
2021-03-17 10:21:39,017 | INFO | Process time: 0:02:28.616239

2021-03-17 10:21:39,018 | INFO | Start process Odata2020File.csv data file
2021-03-17 10:24:07,329 | INFO | File process is completed
2021-03-17 10:24:07,330 | INFO | Process time: 0:02:28.311473

2021-03-17 10:24:09,040 | INFO | ZNO results were saved
2021-03-17 10:24:09,733 | INFO | The best result were in both 2019 2020 years with 72 test value
